# ingest sink, старт 2026-08-23T13:30:49
elapsed_s,water_ml,event,v12a_raw,v12a_mv,v12b_raw,v12b_mv,v20a_raw,v20a_mv,v20b_raw,v20b_mv,air_t,air_h
444.8,0.0,,1012,872,1031,887,47,35,97,77,,
445.8,0.0,,1015,871,1035,888,46,34,97,77,,
446.8,0.0,,1015,870,1034,887,38,27,96,76,,
447.8,0.0,,1015,872,1034,886,33,24,48,33,,
448.8,0.0,,1014,872,1033,888,12,7,37,26,,
449.8,0.0,,1013,871,1035,887,12,7,37,26,,
450.8,0.0,,1017,872,1035,887,38,28,92,72,,
451.8,0.0,,1016,872,1033,888,11,6,36,25,,
452.8,0.0,,1015,871,1032,888,11,6,36,26,,
453.8,0.0,,1015,870,1035,888,41,29,97,77,,
454.8,0.0,,1016,873,1034,888,11,6,35,25,,
455.8,0.0,,1013,871,1034,888,12,7,37,26,,
456.8,0.0,,1015,871,1034,886,33,23,97,77,,
457.8,0.0,,1014,871,1032,887,11,6,36,26,,
458.8,0.0,,1014,871,1032,888,33,24,95,76,,
459.8,0.0,,1012,871,1034,887,33,23,95,76,,
460.8,0.0,,1014,872,1034,886,32,23,71,56,,
461.8,0.0,,1014,871,1033,887,38,27,99,79,,
462.8,0.0,,1014,871,1032,886,13,8,36,25,,
463.8,0.0,,1015,873,1031,888,11,6,36,25,,
464.8,0.0,,1016,871,1034,887,11,6,36,26,,
465.8,0.0,,1015,871,1035,888,38,28,105,84,,
466.8,0.0,,1016,873,1033,887,11,7,38,27,,
467.8,0.0,,1017,872,1031,887,12,7,38,27,,
468.8,0.0,,1016,874,1031,887,12,7,39,27,,
469.8,0.0,,1013,874,1032,888,46,34,110,89,,
470.8,0.0,,1015,873,1033,887,13,7,43,30,,
471.8,0.0,,1015,871,1032,887,11,6,43,31,,
472.8,0.0,,1011,872,1035,887,47,35,131,106,,
473.8,0.0,,1013,871,1034,885,41,30,130,105,,
474.8,0.0,,1015,871,1033,888,50,38,126,101,,
